cat,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11,var12,var13,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var24,var25,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var42,var43,var44,var45,var46,var47,var48,var49,var50,var51,var52,var53,var54,var55,var56,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,var70,var71,var72,var73,var74,var75,var76,var77,var78,var79,var80,var81,var82,var83,var84,var85,var86,var87,var88,var89,var90,var91,var92,var93,var94,var95,var96,var97,var98,var99,var100,var101,var102,var103,var104,var105,var106,var107,var108,var109,var110,var111,var112,var113,var114,var115,var116,var117,var118,var119,var120,var121,var122,var123,var124,var125,var126,var127,var128,var129,var130,var131,var132,var133,var134,var135,var136,var137,var138,var139,var140,var141,var142,var143,var144,var145,var146,var147,var148,var149,var150,var151,var152,var153,var154,var155,var156,var157,var158,var159,var160,var161,var162,var163,var164,var165,var166,var167,var168,var169,var170,var171,var172,var173,var174,var175,var176,var177,var178,var179,var180,var181,var182,var183,var184,var185,var186,var187,var188,var189,var190,var191,var192,var193,var194,var195
Gggm034k,11.37342558,10.27276984,-5.051432216,8.172537395,-0.602616352,-1.550341805,2.576718593,-5.120361444,-2.316690794,0.927561081,-6.031358934,-2.714422731,1.242269305,-4.162759565,-7.528357746,-0.037345239,-4.374794102,-6.603985928,-1.534035412,-2.711027709,-7.632883263,-1.672305387,-2.663394526,-9.144696715,-2.989059411,-1.11701358,-5.288466458,-2.059337861,-3.759986536,-3.78334017,1.917364226,1.418141717,-3.241782769,-2.570648706,-3.193840947,-3.816878869,-0.284050149,-6.041852638,-3.253305266,-3.447593099,-4.259672003,-1.665669663,-1.052868246,-5.595047206,-0.3451091,-3.617035546,-4.54783733,2.017826005,4.739450297,6.286911477,-10.01001573,-0.826019068,1.904041338,-7.838642154,-4.072277093,-0.495107332,-7.910554887,-4.05046665,-0.493152622,-7.57588805,-6.083673132,-1.983875788,-2.171116379,-7.069978377,-4.924170341,-0.137704138,-8.952980868,-1.999101946,0.017026548,-7.535713627,-3.221927036,1.250448221,-7.307321258,-3.60330114,2.026056361,-7.737665978,-3.0133904,2.181095685,-8.058238331,-3.582828131,0.950245999,-10.5719947,-5.361819503,1.975748312,-9.791551229,-6.452650264,1.829145102,-8.698148482,-6.954701958,2.151569284,-11.32702695,-4.200413442,1.955789699,-11.36612114,-3.058657356,2.396010847,0.012345533,10.83819527,-1.382545429,-5.974929558,7.072293164,-2.02441029,-7.404130816,5.605026512,-2.617716052,-5.752812836,5.676116209,-7.140090719,-6.24365067,4.436933287,-6.226624122,-5.180082962,2.522141047,-7.640496342,-5.192428496,2.636954508,-9.01383406,-4.208077961,0.787696475,-5.238775686,-6.570498669,2.332431349,-3.720583708,-0.054217468,4.214816564,-3.129952811,-6.038714815,1.564950686,-3.804944853,-8.030769519,3.834265495,-2.783866357,-7.289523114,1.197876824,-1.571432091,-7.789722978,3.649185373,-0.189864017,-7.528717824,0.734096284,2.517511472,7.488433834,7.3000198,0.812388324,4.734202622,5.345733273,1.403325842,7.148235376,-0.032292848,0.644569366,0.108905733,9.389394859,0.740617462,1.362228796,3.011265733,0.124441558,-1.8926353,0.697830024,2.846314283,-4.264150448,-1.063672851,2.638933394,-8.221349885,-3.791431433,2.474086984,-8.074375795,-6.218390371,2.966961523,-6.428464232,-6.861089276,2.912971213,-4.682084718,-5.412438248,3.972202861,-1.343189206,-2.714160285,4.553201052,4.289742842,-3.970123976,-0.592697982,-10.5699546,-2.918782667,3.067710335,-10.45115868,-1.01477495,3.267862811,-8.506404858,0.053332024,4.249903394,-4.860073669,2.276494046,4.708949525,-4.766901722,8.247742166,-0.175851672
Gggm043k,11.05280719,9.831190495,-5.020900213,8.261811601,-0.172002641,-0.764903829,3.543911875,-5.413102816,-1.882290726,1.669011405,-5.929876954,-2.606288624,2.322023301,-4.071586022,-5.714348425,0.666704879,-3.59257881,-6.185347467,-0.367535462,-1.959801903,-7.244007783,-0.108703494,-1.765035296,-8.54884518,-2.109559627,-1.08691136,-5.25036889,-1.40315993,-3.934161868,-3.839349089,1.631541078,1.186024824,-3.255939066,-1.743062262,-3.425000435,-3.852696039,-0.300306379,-6.015099703,-2.854344165,-3.661661635,-4.695531227,-1.859353745,-0.665716216,-6.700243146,0.503451905,-4.248828577,-5.317499106,2.639260534,4.752354632,5.830961223,-8.948265023,-0.186115805,2.102119939,-7.696419961,-3.155268458,0.239577756,-7.521723213,-2.990062875,0.318176463,-7.947935823,-6.595716752,-2.554878149,-2.333714241,-6.66146284,-4.644120752,-1.048155772,-8.485447167,-2.04907817,-1.034907688,-7.8960063,-3.716656013,0.640282861,-7.637965263,-4.066346108,1.857326985,-8.086620522,-3.602564306,1.900234959,-8.36680761,-4.095511666,0.294250819,-11.23472117,-6.106748761,2.132471892,-10.22658154,-7.203966933,2.136327678,-8.99381767,-7.549208044,2.132669625,-11.94032994,-4.794891856,2.121695465,-11.78510985,-3.532863566,2.199503242,0.800075514,10.75341532,-0.336021829,-6.066089996,8.169149164,-1.407534764,-7.096177951,6.644630853,-2.24987562,-5.431071765,6.677948796,-5.271625144,-5.377782831,5.022531507,-5.976047515,-4.138493789,3.784626593,-6.971631133,-3.996620652,3.916711967,-8.394811488,-3.826076288,1.520489509,-5.223081792,-6.37119139,3.287131383,-3.808008472,-0.406686516,4.377231181,-3.036258152,-5.814376402,2.394961912,-3.812160857,-8.153849604,4.045534753,-2.485968339,-7.633911745,0.616159484,-1.709472437,-8.733898173,4.198579782,0.397664966,-8.261020671,0.209126936,2.499957921,7.263337627,7.551013837,1.498201486,4.232017253,5.369160503,2.195662187,7.171547685,0.053400141,1.069150228,0.310900635,9.780962362,1.037029655,1.168900291,3.079096227,0.77687373,-1.567491536,1.010520833,2.895597413,-4.921397908,-1.570051975,2.457483872,-8.694682559,-4.310340024,2.29183596,-8.559298611,-6.613793071,3.036487918,-6.732777671,-7.122143207,3.3468751,-5.018911319,-5.774443414,4.300170834,-1.416729824,-2.622395723,4.655927365,5.106343829,-4.760946113,0.326180945,-10.74625246,-3.465515745,2.923549189,-10.8155083,-1.522371231,3.164014072,-9.008197575,-0.226588178,4.011917839,-5.024594945,2.206798092,4.46610269,-5.280983135,8.951924361,0.359216703
Gggm044k,11.50806161,10.81328813,-4.408845092,8.273802102,-0.783197844,-1.157094502,3.315677502,-5.577542341,-2.216497353,1.623415612,-6.116088687,-2.696309451,2.382985592,-4.24653086,-6.38662897,0.727196577,-3.99678608,-6.410182298,-0.711245906,-2.332251525,-7.679478096,-0.507117064,-2.084593748,-8.846709474,-2.251554047,-1.13093242,-5.601518039,-1.355235631,-4.235797698,-4.034277611,1.551264911,1.047303198,-3.369020324,-2.09532691,-3.372771961,-4.214554982,-0.537627071,-5.94753829,-3.345168852,-3.586640154,-4.45046094,-2.034828647,-0.274863362,-6.117082499,-0.07910738,-3.414412655,-5.12386748,1.932466082,3.688853647,5.147470499,-9.435642053,-0.921039472,1.511810602,-7.584370354,-3.619833452,-0.444109427,-7.962813699,-3.55990663,-0.365598334,-8.442526416,-6.369908095,-2.821007925,-2.583909393,-6.263868428,-4.98582709,-0.928418521,-8.238273348,-1.963348769,-0.877436001,-6.955262953,-3.358262316,0.709978796,-6.608919713,-3.739190189,1.710249875,-7.126198498,-2.956464406,1.785183247,-7.617737569,-3.752507261,0.303808116,-9.759897837,-5.495354146,1.630546208,-8.97518443,-6.450704954,1.420553879,-8.170495417,-6.918889459,1.364701684,-10.42197493,-4.470039023,1.656087158,-10.67519805,-3.568950313,1.708461014,-0.638101394,10.72424264,0.050883139,-6.54531579,7.020407284,-1.16484623,-7.584544271,5.362630646,-1.804165043,-5.729794233,6.169903569,-5.988210018,-5.829572888,4.445640955,-5.655481993,-4.735585404,2.95243947,-7.088259751,-4.596948727,3.135996418,-8.427519865,-3.795936815,0.884020001,-5.542485647,-6.449015474,2.363109366,-3.51550811,-0.623889892,3.944263152,-2.835741177,-5.87548697,1.532581259,-3.720730144,-7.971931918,3.657647972,-2.459285455,-6.96470416,0.696189664,-1.527587357,-7.787679302,3.366858784,0.595292972,-7.115962241,0.594522768,2.250386319,6.838787374,7.202393414,0.898783754,4.452249502,5.225479519,1.315877523,6.910487679,-0.482749437,0.558047339,-0.706746673,9.060976185,1.618846465,0.625936209,2.352309917,-0.055909603,-2.189621019,0.081868049,1.966089203,-3.429296172,-0.989172631,2.151546617,-7.443795646,-3.819332524,1.909115691,-7.636820137,-6.239103446,2.31084791,-5.841279786,-6.977597968,2.33119242,-4.026292138,-5.91231881,3.286066099,-0.90282951,-3.158931098,3.916261624,5.044755827,-4.772356223,-0.672411069,-9.785986874,-3.381233469,2.495424012,-9.939485502,-1.524434093,2.894253806,-8.194997437,-0.156040529,3.818759294,-4.577695421,1.863538908,4.47409427,-5.542172696,8.225439666,0.529312269
Gggm045k,10.92049293,9.495123528,-5.823059619,8.579891725,-0.177060705,-1.965512076,3.733814983,-5.043721139,-2.503248202,2.162695643,-5.842286425,-2.741650355,2.144672113,-4.683148124,-6.475593345,0.394443939,-4.304346766,-6.109387977,-1.091473257,-2.369889438,-7.326693126,-0.861366024,-2.327902805,-8.608923946,-2.831460787,-1.167638034,-5.372368952,-1.750868213,-4.04628258,-3.402274189,1.714155511,1.259291782,-3.452658149,-1.893008328,-3.824982301,-3.409545045,-0.462800227,-6.126157029,-2.508778149,-3.186606262,-4.542236886,-1.178621122,-0.72178607,-6.123187243,0.663055986,-3.637296929,-4.954627551,2.96208018,4.12408586,5.393336667,-9.648349138,-1.285021396,1.154837231,-7.662893412,-3.528438902,-0.424781842,-7.595509986,-3.502734889,-0.387505904,-7.728331116,-6.252859375,-2.678849616,-2.327826,-6.415378369,-5.152169541,-0.460342472,-8.655314056,-2.39303329,-0.621222963,-7.561101428,-3.689088977,1.071043175,-7.20575114,-4.014638996,2.179183077,-7.747788336,-3.552478809,2.082409007,-8.016297977,-4.112027504,0.774474175,-10.3540318,-6.104446867,2.05342799,-9.320443772,-7.183810564,2.260596183,-8.033604663,-7.617296952,2.367918114,-11.1927404,-4.97469921,2.232024791,-11.52402518,-3.614946727,2.265306879,0.550408921,11.13792736,-1.805041211,-6.048763375,7.692258454,-2.365818783,-7.032889098,6.440647153,-3.040574703,-5.841902401,6.467784855,-6.643027847,-5.92751417,4.619553736,-5.925261229,-4.752707687,3.109775843,-7.35577655,-4.706829609,3.192008201,-8.637700151,-4.03432663,0.688068755,-5.219373756,-6.518911262,2.421297462,-3.708571799,-0.329057438,4.410030194,-3.250200651,-5.872214702,1.81300331,-3.750660839,-8.021827924,4.477208808,-3.074676042,-7.276616385,0.333025687,-1.568584781,-8.332221792,4.00849461,0.279134307,-7.651833518,0.500050563,2.742315996,7.855911496,7.982518604,-0.260539595,5.210438591,5.944934834,0.790499592,7.275449156,0.00359526,0.176268847,-0.14609033,10.05305113,0.329914488,1.542688449,3.251029938,0.445707908,-1.621505348,1.057442681,2.695799517,-4.274066108,-1.171029939,2.763744233,-8.316106605,-4.373266289,2.509237749,-7.768770286,-6.869305488,3.144237038,-6.177792498,-7.105635549,3.639348847,-4.654019129,-5.817587941,4.531546885,-1.446881404,-2.730547757,4.789140206,5.122635119,-4.14891911,-0.71351286,-10.77763494,-3.611259379,3.007596558,-10.72975482,-1.732363168,3.452564037,-9.164860971,-0.537393905,4.449098859,-5.479922117,2.056727013,4.602987756,-4.600175061,9.038312951,-0.776058033
Gggm058k,10.15045421,11.45541205,-3.636661478,7.638122731,1.194896468,0.489644415,5.037431442,-4.877849747,-1.071314112,3.143812807,-5.579484874,-2.054244142,3.800394143,-3.895987802,-5.510277783,2.129034407,-4.042121329,-5.232381335,0.609342824,-2.285508944,-7.200474665,1.207762045,-1.701654527,-8.586946847,-1.065318268,-0.980793859,-4.968758394,0.242892371,-4.095137214,-3.379738347,1.864925973,1.336563456,-2.037251871,-0.80295761,-3.315823135,-3.64394388,1.369722658,-5.671146037,-2.574984411,-1.565570714,-4.665397815,-2.081334676,0.354458765,-6.198974511,0.410217687,-2.583844667,-5.656775431,1.869028392,5.107439597,6.777391402,-9.098656938,-0.056074493,1.704470389,-6.876262142,-2.407707645,-0.387520868,-8.001150455,-2.422757942,-0.419854732,-7.731410297,-5.149094935,-2.949081386,-3.086306108,-4.754777158,-5.633374647,-2.172704542,-7.854070216,-2.8443119,-2.319614859,-6.765788108,-4.702877909,-0.781765821,-6.860556429,-5.196042151,0.491586388,-7.355371349,-4.494892517,0.504986007,-7.332456058,-5.251873897,-1.200843763,-9.1737385,-7.234337833,-0.241702912,-7.993698131,-8.12638349,-0.332684384,-6.557414322,-8.259797088,-0.236265385,-10.22386082,-6.004097442,-0.493479813,-10.4775797,-4.243309813,-0.389875511,-0.517293266,9.611896334,0.443813833,-6.826571888,6.882452183,-1.477963422,-7.499465803,5.075639776,-2.357871743,-5.329504299,5.788829648,-6.522822914,-5.693235988,4.20058639,-5.93421066,-4.081106453,3.111527493,-7.137360517,-3.739416166,3.39466727,-8.721622729,-3.000689339,1.052064297,-4.883214449,-6.377199155,2.539227819,-3.491693135,-0.492533101,4.052122494,-1.94918336,-5.616528024,1.461820765,-3.693852606,-7.306919103,2.872858915,-2.820741194,-6.740833745,0.242164131,-2.354958782,-8.504243038,3.008117389,-0.162761678,-7.922330594,-0.669689659,1.566371778,6.02044721,7.768852717,2.748026607,3.695410943,5.70826871,3.276285422,6.81420938,0.756865211,2.083085754,-0.880561358,8.902744506,1.815826952,0.740212854,2.66816245,1.782448501,-2.644433084,-0.470699975,2.506101922,-4.428383604,-2.446158337,1.80054022,-7.404222379,-5.33185632,0.38943746,-6.371532669,-7.519294035,0.78362897,-4.850582104,-7.967226698,1.322077788,-3.391190069,-6.448686899,2.836523129,-1.049116283,-3.023047186,4.490540456,5.734837728,-3.684870783,0.924585146,-9.760705901,-4.41038442,0.657633458,-10.09485745,-2.711048999,1.327265285,-8.667506328,-1.304492827,2.751995904,-5.345272349,1.040492172,4.344793965,-5.415988159,7.893607249,0.696458389
Gggm072k,9.106729397,10.84010759,-2.670972591,7.957498371,0.396812612,0.534087802,4.629714928,-5.093709921,-1.495256669,3.277336023,-5.835189977,-1.986245883,3.330402828,-4.007829213,-5.824712436,2.050008511,-4.279469165,-5.481281925,0.232058131,-2.726755795,-6.750325573,0.673958124,-2.382743199,-7.75820681,-1.42727392,-1.919014994,-4.539952476,-0.200528493,-4.69459322,-3.012074759,1.761197033,0.584050151,-2.248184408,-1.230723012,-3.757629414,-3.342505358,1.365960902,-6.159993748,-1.805120243,-2.451259526,-5.198582346,-1.520092322,0.78203202,-6.800772992,0.675340578,-2.867644767,-6.013793245,2.285583408,3.523558237,5.474151376,-7.801766216,-0.982754541,0.58812475,-6.441044084,-2.66226556,-1.107878694,-6.893518633,-2.537117153,-1.02890908,-7.406433072,-5.65088712,-3.865412266,-2.857628044,-5.181920145,-6.073068963,-1.378839547,-8.08769152,-3.644316748,-1.331108526,-6.875789276,-5.053157957,0.41970798,-6.71998436,-5.362342431,1.110740615,-7.229697328,-5.004068737,1.158277607,-7.531993789,-5.766115817,-0.440808583,-9.159602174,-7.406045014,0.489752282,-8.257078433,-8.112017847,0.434842206,-6.892669758,-8.536358258,0.605005233,-9.92882831,-6.502066059,0.226358542,-10.38809386,-5.234477625,0.66767645,-1.379251857,9.63354113,0.497998495,-6.760245282,6.303429344,-1.789015874,-7.405487182,4.920976016,-2.267975319,-5.230233251,4.783312769,-5.949181742,-5.77361017,3.69607386,-5.49845345,-4.566267596,2.384829005,-6.568035762,-4.334597523,2.582932142,-7.62888679,-3.634154503,0.078605811,-4.262006596,-6.392076132,1.387813366,-3.014403102,-1.031843761,3.363023876,-2.299504956,-5.850154428,0.625184201,-3.176610959,-7.706134401,3.112630049,-2.076469152,-7.057885058,-0.697896395,-1.42278701,-8.454211426,2.626200506,0.639348284,-7.900842038,-0.791806207,2.26879994,5.643404991,7.518309538,2.800627213,3.633324643,5.5995624,3.423001783,6.984745031,0.097313257,1.762698426,-1.598657193,8.745729893,1.446009995,0.70479377,2.46561822,1.332856821,-2.3090401,-0.551681427,2.950397647,-4.724997201,-3.006725198,2.212872087,-7.430043046,-5.662192775,1.120189902,-6.963039349,-7.976128506,1.291907971,-5.1231847,-8.105431161,1.644936977,-4.15546087,-6.99117533,3.147630565,-1.400424833,-3.8709284,4.411930604,5.355091294,-3.800798823,0.471087454,-9.933921559,-4.946860684,1.255914804,-10.13661735,-3.39882835,1.795191803,-8.929315718,-2.194979649,3.074477441,-5.844165834,0.404659282,4.459499998,-5.514757474,7.437951164,0.169984783
Gggm108k,8.376742129,9.967913969,-2.991108402,7.268715302,0.397300649,-0.500722321,2.460458465,-5.200792408,-1.780292006,1.189251981,-5.969817873,-2.043441084,1.554509902,-4.608852853,-5.461267207,0.160870052,-5.076997591,-5.068877506,-1.279739866,-3.476125411,-6.743073561,-1.103140189,-3.332978536,-7.65971924,-2.586246836,-2.516594017,-4.713538729,-1.885196687,-4.935601153,-3.526644977,0.444635392,0.53023664,-2.508862919,-2.632633425,-4.264211193,-3.653843422,-0.761026939,-6.153516545,-2.986440569,-3.049334755,-5.403356905,-2.096440436,-0.933445015,-6.791259211,0.319941044,-3.4167321,-5.810819816,2.374370984,2.173289497,3.81045894,-8.310784678,-2.246467502,-0.564078428,-7.17513984,-3.903645415,-1.751944646,-6.925021796,-3.99427917,-1.798428481,-6.426341652,-6.470370013,-3.883199335,-2.154788347,-6.075840889,-5.534445211,-1.124655981,-7.992472513,-3.567828877,-1.170848077,-7.910104712,-5.222089395,0.92053554,-7.723974877,-5.593668341,1.77095634,-8.18385366,-5.212559237,1.699382903,-8.715403128,-6.056367274,0.437706578,-10.55987784,-7.830727242,1.272470689,-9.366565813,-8.714795337,1.401127832,-8.433971705,-8.986988341,1.691894921,-11.51153226,-6.567203233,1.394612315,-11.6362023,-5.508966624,1.599316236,-1.92701269,9.071398319,-0.777291419,-7.458880868,4.557312198,-2.339264991,-8.25591333,3.432267231,-2.489997094,-6.925289224,3.365167133,-5.743962835,-7.233366193,2.253542186,-5.303338861,-5.844880409,1.155531751,-6.986092609,-5.620824431,1.213976908,-7.865298379,-4.608682671,-0.624954748,-4.826733676,-6.907979344,0.231787076,-3.728820488,-1.661043463,2.516010538,-2.684976363,-6.238437067,-0.574581052,-3.754785308,-8.380875106,1.058285233,-3.098468558,-7.661445366,-0.886936868,-2.122405256,-9.074729012,1.591487891,0.096663039,-8.419287481,-0.908622841,1.964282418,5.007534792,7.319807748,1.784676851,2.810107737,4.82401233,2.01396829,6.131088873,-0.215411647,1.036926688,-2.59528269,8.442658736,0.663112629,-0.671414058,1.745843983,0.582715781,-3.055973094,-0.600381992,2.552237881,-5.466224153,-2.851210533,2.419244418,-8.605485583,-6.074864339,2.059575642,-7.444026463,-7.599103735,2.8036106,-6.266567276,-8.544939415,2.588335594,-4.934980234,-7.012559902,3.560854454,-1.859236146,-3.90274676,3.902911788,3.416605582,-4.483579305,-0.09902116,-10.04308066,-4.815579403,2.693167632,-10.98352451,-3.518216524,2.370091554,-9.443388131,-2.256256628,3.399744981,-6.406482746,0.672027499,3.695393553,-6.551956924,5.485144533,-0.696690694
Gggm121k,6.822465271,9.545601737,-2.543393796,6.681153106,0.334090181,-0.379876524,2.895948634,-4.700205747,-1.09174156,1.786768231,-5.24203582,-1.483652636,2.023255941,-3.43710317,-4.76005325,0.654669638,-4.143563917,-4.561095329,-1.249441733,-2.62986243,-6.119432245,-1.219517982,-2.55880603,-6.862221828,-2.735421216,-2.156786931,-3.638563077,-1.229626005,-4.53957825,-2.665190471,0.745541767,0.312573102,-1.939114155,-1.751840508,-4.293282755,-2.698116606,0.011058778,-5.705703852,-1.696721758,-2.710701595,-5.250342413,-0.541204576,-0.342221635,-6.078499755,0.898137889,-2.298174155,-5.284069183,2.463480366,1.644455272,4.337267668,-7.679670671,-2.490927151,-0.162704145,-6.224815892,-3.809974133,-1.343841662,-5.971514837,-3.868720763,-1.374766209,-5.633346419,-5.574574769,-3.772269205,-1.342940947,-5.185165679,-5.527262215,-0.527793932,-7.451864852,-3.428096021,-0.393387248,-6.209478719,-4.32450754,1.607200701,-5.817367484,-4.772663259,2.244406478,-6.412139579,-4.002852229,2.300651121,-7.397221479,-5.745535468,1.209685177,-8.62049244,-7.037360843,1.923651882,-7.50010314,-7.869020966,1.762924306,-6.352792473,-8.070681032,1.794049011,-9.457056455,-5.96030594,1.924052199,-9.754392463,-5.015856292,2.101593121,-2.180881055,8.346349841,0.321380093,-7.033732963,4.537626701,-0.344448403,-7.554646434,3.444559088,-0.749269726,-6.086280932,3.884408215,-4.052992027,-6.665040317,2.772325509,-3.980134196,-5.525135527,1.649634383,-5.586609322,-5.357902788,1.722492213,-6.464005747,-4.412852663,-0.53880267,-3.379157176,-6.969882282,0.915151393,-2.149180893,-1.783966007,2.737998262,-1.643579577,-6.436959279,0.175764512,-2.256265891,-7.92153765,1.873912401,-0.951530269,-7.404427199,-1.144783662,-0.375573108,-8.247196139,1.247615284,1.411445322,-7.160433531,-0.702932947,2.686357272,4.843635993,7.151936586,1.942501043,2.457711987,4.468224614,2.537243615,5.643763287,0.097175743,1.546220399,-2.085833112,7.45694048,1.993341797,-0.266627653,1.864269147,1.424971258,-2.297958084,-0.374275078,3.048410949,-4.403404764,-2.443176049,2.888265335,-6.949622902,-5.205064174,2.311618827,-6.216084262,-6.85486709,2.717615783,-4.225174895,-7.385907299,2.919712796,-2.984256527,-6.049123338,3.720676054,-0.498567313,-2.909696746,3.803057043,4.10042988,-3.796717411,0.409223107,-8.41291858,-4.670536797,2.914088332,-8.929697769,-2.802751359,3.171978029,-7.56004682,-1.512513844,3.862641638,-4.836975907,0.965571394,3.94631195,-5.839110642,5.74732719,1.139696924
Haaf005k,3.314349568,3.729384397,-1.308518688,2.653124178,-0.600055941,0.117385806,0.732593813,-2.252777824,0.536470946,0.032524481,-2.549280072,0.337956933,0.088155252,-2.226524004,-2.009368802,-0.477619447,-2.858470041,-1.701350008,-1.230294016,-2.289669809,-2.171088429,-1.059888181,-2.282642764,-2.39595386,-2.124778252,-1.596334728,-1.255132667,-1.57364323,-2.622673651,-0.03847795,0.15159385,-0.144762001,-0.497187814,-1.487757127,-2.663274354,-0.047847343,-0.696726605,-3.006623567,0.033354063,-2.023666886,-2.355450755,0.150178682,-0.433895613,-2.331539283,0.887139998,-0.839805044,-2.03074273,1.278507351,1.142699951,1.816466664,-3.915454686,-2.190559198,-1.060620165,-2.295623277,-2.620477699,-1.303248404,-1.839158163,-2.667129468,-1.440666168,-1.363466273,-3.114127592,-1.850577111,-0.4887944,-2.909269718,-2.400150567,0.02759579,-3.66770256,-1.609608035,0.1312447,-3.298977907,-2.086568696,0.873378702,-3.087385783,-2.027717197,1.197696336,-3.263745086,-1.847258784,1.210286458,-3.601824016,-2.345690971,0.863423722,-3.766081186,-2.485353485,1.294415799,-3.4260503,-2.840219244,1.192328455,-2.998864539,-2.983102487,1.161975526,-4.129633154,-2.071050639,1.234100332,-4.186044707,-1.550366144,1.268747566,-0.904610012,3.502274215,0.269345649,-2.896289205,2.026692419,0.639436671,-3.266380228,1.346337852,0.47791224,-3.127108105,1.365857421,-1.866583157,-3.821907153,0.961509555,-1.543924686,-3.483145038,0.323024463,-1.995997897,-3.397551729,0.341275259,-2.289962602,-2.723443424,-0.82550696,-1.206431343,-3.779744885,0.073661972,0.069465265,-0.903536436,1.221217417,-0.444582577,-3.658821156,-0.148861111,0.05160486,-3.846989799,0.904219621,-0.161451233,-3.468407764,-0.727811519,0.153692204,-3.084555445,0.931644615,1.012846021,-3.007355551,0.321170104,1.240346594,2.637893742,3.163498632,0.355641135,1.453545472,2.095361871,0.979944909,2.23423355,-0.400893292,0.819390757,-0.866865315,3.14142483,0.842752948,-0.139468909,0.698357895,0.696320911,-1.154424576,-0.142267488,1.172027225,-2.112680121,-0.995273627,1.069901232,-3.18006528,-1.960782058,1.241824908,-2.651865751,-2.538177146,1.529083275,-2.185991522,-2.801274972,1.580252946,-1.442768718,-2.340367594,1.777780733,-0.308292039,-1.286727236,1.475458433,1.448215849,-1.714497608,0.953507996,-3.791359906,-1.440855703,1.48057295,-3.882911466,-0.780314845,1.659007281,-3.413833978,-0.250917341,1.825250958,-2.120327009,0.803633536,1.539540884,-2.253071788,2.592542366,0.986278619
Haaf013k,4.008023766,3.07795706,-1.600883601,2.487019266,-1.139915655,0.241411296,0.475209191,-2.386640656,0.721375782,-0.183928896,-2.585722435,0.640363296,-0.31717571,-2.629283893,-1.494443838,-0.888895214,-2.846007077,-1.363956573,-1.481705561,-2.148432409,-1.89990049,-1.420207031,-2.14882663,-2.236269852,-2.043963753,-1.200822853,-0.721277227,-1.756083616,-2.360622047,0.184643422,0.275831747,-0.008204732,-0.273540335,-1.672607246,-2.426851233,0.19863828,-0.916983485,-2.741932642,0.270977896,-2.210719381,-1.945999749,0.270780786,-0.442439542,-2.203032065,1.187838187,-1.189488989,-1.835223551,1.506270478,1.92673218,1.694732919,-3.57307443,-2.111178492,-0.677001242,-2.016984229,-2.674717903,-0.893330205,-1.446743055,-2.705664279,-0.92723324,-1.133435642,-3.068840692,-1.07536191,-0.454093711,-3.051692063,-1.818863365,0.360466141,-3.658300157,-0.776542131,0.305669375,-3.42324568,-1.349937076,1.144276729,-3.111810818,-1.325298242,1.360802802,-3.236581874,-1.066590485,1.343851284,-3.866449026,-1.57828979,1.108698253,-4.011226815,-1.643533422,1.35725481,-3.680573663,-2.212296267,1.549733381,-3.077612117,-2.40704161,1.494542393,-4.405448159,-1.134396556,1.411953022,-4.24293041,-0.467275487,1.38810263,-0.222759698,3.896656237,0.191148074,-2.557042832,2.603018896,0.49193896,-3.007736384,2.157942999,0.454192266,-3.26200915,2.0425347,-1.388398296,-3.594534854,1.691184927,-1.214743794,-3.301135619,0.797682251,-1.950755044,-3.3146377,0.840061045,-2.216558785,-2.69718852,-0.254297406,-0.855411039,-3.638983311,0.736380832,0.102251161,-0.382222232,1.585533607,-0.272653337,-3.579455888,0.526852188,0.092888404,-3.681066439,1.459776998,0.19863828,-3.309315712,0.176487968,0.314046578,-2.863549927,1.501071684,1.124467106,-2.915488589,0.934477057,1.390467958,3.205567199,2.747316523,0.271667754,1.865155102,2.018851952,0.894699503,2.475832447,-0.507612836,0.998656588,0.038740732,3.706364116,0.980503188,-0.238159196,0.590337149,0.672599938,-1.013026843,0.240564912,1.239969032,-2.017187253,-0.482161216,1.186003974,-3.169558431,-1.143422648,1.386786719,-2.854656688,-2.012805976,1.756648535,-2.354236746,-2.236727346,1.938203134,-1.665594443,-1.922743153,2.033835812,-0.4052747,-1.142824023,1.90037464,1.267256738,-1.990346397,1.092840995,-3.839014867,-0.392124215,1.66944293,-3.849327205,0.194267518,1.789093642,-3.257168802,0.616019605,1.888886241,-1.908246255,1.356748433,1.816284073,-1.923564218,3.228000956,0.928471647
