Cmsf007k,5.091779079,4.509159192,6.984470388,3.22160563,5.111780209,1.556154887,0.800577727,1.837937148,1.91818588,3.264867422,2.151584879
Cmsf008k,4.88960437,4.642071108,7.253381036,3.68260935,5.281224712,1.830574771,0.938240185,2.035167776,2.335319237,3.084093729,2.038020949
Cmsf009k,5.017666447,5.26790092,8.031314139,4.289396454,5.577476938,1.973220292,0.853055189,2.33150638,2.386018089,3.539412911,2.374611698
Cmsf010k,5.346180424,5.424393817,7.66112826,3.919196027,5.677553213,1.876918068,1.075354001,2.231025854,2.237208937,3.441019932,2.663268023
Cmsm001k,5.199679086,5.918915042,8.211189769,4.516090884,6.132607093,2.175923827,1.164770284,2.089440738,2.251715383,4.182441369,2.660097766
Cmsm002k,5.211468703,5.801306697,8.050646295,5.137879458,6.462180035,2.411312779,1.335281328,2.085496784,2.384589974,3.81543611,2.510236214
Cmsm003k,5.623997346,5.405317037,7.882175311,4.839814615,5.993088134,1.993913347,0.892947093,2.292405604,2.358883844,3.864356504,2.856259766
Cmsm004k,5.260469239,5.556281601,8.414140743,4.910858525,6.306849349,2.292773267,1.202312358,2.115857992,2.250843873,4.654800516,3.142599334
Cmsm005k,5.094781009,5.461362182,7.775948082,4.420762849,5.788829665,2.087273195,0.999338548,2.147886546,2.289482836,3.908823506,2.587987588
Gbbf005k,8.83630087,12.11969422,14.81605284,11.06420395,12.62496729,2.053411718,2.813170815,3.937646292,3.938815909,10.67024256,5.699109377
Gbbf015k,8.630536582,12.13720132,16.28428805,10.29021007,13.30821087,2.408319596,3.582671996,4.019744423,3.990312884,11.54844128,5.134548429
Gbbf016k,8.798662547,12.56184344,16.55357416,11.21896783,13.06110859,2.392878019,3.284071412,4.127319056,3.877763442,10.2366876,5.710103583
Gbbf024k,9.768788476,11.66933506,16.14175536,10.20219763,12.22745097,2.523005676,3.217865204,3.7377556,4.098898143,9.154665195,5.268282671
Gbbf027k,9.905754423,12.07396824,16.41792962,11.50953439,13.44282624,3.292219482,3.893186574,4.456781863,3.710735873,9.615113335,5.059155397
Gbbf029k,8.670919668,11.62861835,15.69418071,10.48110031,11.93616949,2.89180941,3.217412251,4.015847666,3.905531492,10.25288066,5.141203729
Gbbm001k,10.78160075,13.44979377,18.22999294,13.03407685,14.77444107,2.938193838,3.732620804,4.372713325,4.094201258,12.99113774,6.837641767
Gbbm009k,11.02010706,13.30484232,17.0360108,13.28124618,14.76845862,3.167242388,3.687068085,4.12251186,4.192143487,12.157695,6.729936954
Gbbm010k,10.69498994,13.65805916,19.48626597,12.69263543,15.28414634,3.03983036,3.888916339,3.78166494,4.066429104,13.63423164,6.07333258
Gbbm012k,11.69205939,14.69487857,20.24119099,12.0604599,16.12128416,3.198791149,3.502958386,3.898269829,4.102996123,12.932986,6.369166412
Gbbm014k,10.84337688,14.38991066,19.22911872,12.67154218,14.13976311,2.951044837,3.62663481,4.072457539,4.359214357,13.40795294,5.552834377
Gbbm017k,14.82152787,15.21780983,20.85847685,14.06380771,16.69836702,3.462799727,3.476537,4.077404057,4.603838436,13.96744121,6.144106155
Gbbm018k,11.49373091,12.01354719,19.98774528,13.95438031,15.30999978,3.735193817,4.461430559,4.479300431,4.616731452,11.42624592,6.524547845
Gbbm023k,12.7191185,14.82023741,20.0433354,11.55235176,15.45769679,3.38994754,3.478175751,4.358564704,4.376135176,12.62631636,7.06813336
Gbbm026k,12.8370416,12.93686891,21.46496904,13.2897598,14.95629502,3.589910334,3.812070395,3.884051648,4.715631662,13.96169851,6.735728447
Gggf015k,9.465049139,11.95022644,14.41469674,10.23060104,12.24624785,2.691356054,3.152879935,3.940435569,4.14649968,9.053583476,5.501928785
