cat,genus,species,sex,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54
Przu001k,Aegypto,zeuxis,u,0.057614598,-0.897009896,-0.154335528,-0.87255409,-0.399069696,-0.764922196,-0.634361269,-0.629613461,-0.846241297,-0.576873211,-0.968199294,-0.429563911,-1.03414365,-0.15615403,-0.997453803,0.089127663,-0.864277296,0.323088946,-0.822818913,0.530393845,-0.651566224,0.686732523,-0.445300517,0.818236895,-0.190753398,0.934148348,0.03022752,1.057630424,0.232680147,0.997767341,0.447586871,0.811071291,0.603178937,0.60979802,0.793224415,0.439944678,0.786741229,0.306287228,0.82630073,0.114274296,0.756151502,-0.04091935,0.739970281,-0.187285003,0.733786782,-0.379093097,0.639348351,-0.52728573,0.544238079,-0.642673837,0.437288425,-0.771810079,0.330146099,-0.865688569
Przu003k,Aegypto,zeuxis,u,0.154682807,-0.753938779,-0.068839933,-0.766440168,-0.314740277,-0.775468353,-0.553914138,-0.697655384,-0.748703715,-0.564674163,-0.90101067,-0.384483334,-0.933175704,-0.161545414,-0.854590185,0.0684487,-0.768573587,0.31128504,-0.682391659,0.465084781,-0.54789471,0.565610242,-0.383074869,0.670003791,-0.239235746,0.709741043,-0.07116546,0.697443315,0.092292652,0.641834383,0.266113075,0.571220356,0.439692033,0.541376949,0.525965336,0.398591323,0.616922971,0.344438451,0.683696677,0.22991056,0.68782063,0.078489745,0.698660026,-0.066896744,0.688789882,-0.176059158,0.636898217,-0.336584212,0.599760927,-0.46276404,0.500578243,-0.546521725,0.412507348,-0.656863595
Przu004k,Aegypto,zeuxis,u,0.006431583,-0.860264078,-0.175205476,-0.754566944,-0.383043087,-0.681767812,-0.567514207,-0.60804163,-0.788970165,-0.494479264,-0.866814701,-0.32356528,-0.957902188,-0.159443764,-0.924529383,0.048945049,-0.833280774,0.269227801,-0.645591,0.461258915,-0.596032525,0.674679866,-0.462231602,0.803093594,-0.22122259,0.849441658,0.003917365,0.885017828,0.205826236,0.826054515,0.349251373,0.730732894,0.546392702,0.600946571,0.728947764,0.483782024,0.731216747,0.312704809,0.774139723,0.14269947,0.788926888,-0.0065618,0.737744408,-0.19126689,0.72554321,-0.350894279,0.635153012,-0.52002062,0.515666239,-0.644216723,0.38810627,-0.702324748,0.260646606,-0.792225141
Ptsm019k,Pan,troglo,m,1.986093895,-0.357183232,1.779682667,-0.856725624,1.529402441,-1.300757802,1.127895075,-1.56700391,0.546915035,-1.80814906,0.050004971,-1.900260002,-0.413381971,-1.749554923,-0.809163601,-1.377922376,-1.120125526,-1.048772202,-1.249926838,-0.754896226,-1.49012018,-0.596844474,-1.570314966,-0.354647076,-1.656143694,0.021215901,-1.624074858,0.214793687,-1.547718614,0.440376061,-1.376668001,0.722810919,-1.208890611,0.95228108,-1.027260291,1.171036722,-0.667849082,1.376236695,-0.210596379,1.518368535,0.180977127,1.566153781,0.595036054,1.565265699,1.043842222,1.402119533,1.388672719,1.216841184,1.658721023,0.896265547,1.878278716,0.499030416,2.076243323,0.206428481
Pttf014k,Pan,troglo,f,0.919896388,-1.76514643,0.369238426,-1.925316345,-0.310739494,-1.961126168,-0.90471473,-1.912165088,-1.544305122,-1.687330778,-2.06148834,-1.250207723,-2.258027235,-0.681541143,-2.243276225,-0.141134049,-2.002569355,0.462692817,-1.865206507,0.861610488,-1.672620828,1.086897458,-1.37022529,1.250011937,-0.870855367,1.432078733,-0.557085976,1.461979923,-0.189696962,1.48049019,0.259173747,1.453717109,0.648709647,1.376694745,0.999563615,1.301017833,1.289419464,1.137774873,1.493080827,0.912632329,1.712759377,0.595821943,1.766790641,0.320377131,1.816044873,-0.002388714,1.748437747,-0.374605911,1.719392041,-0.709646432,1.599938828,-1.021484106,1.482333834,-1.33705275
Pttf049k,Pan,troglo,f,0.725964337,-1.61835776,0.072117296,-1.685743671,-0.443447002,-1.684147657,-1.010733438,-1.567928001,-1.55832893,-1.418059473,-2.008770703,-1.105116117,-2.163271592,-0.522305247,-1.985641034,0.019241486,-1.74630167,0.539124982,-1.532203479,0.7690226,-1.417260499,1.07764146,-1.029833263,1.195559034,-0.740655956,1.300250053,-0.398996174,1.363380819,-0.046718535,1.359424584,0.26147005,1.367420929,0.609374607,1.22181032,0.885303946,1.064632991,1.183117882,0.929718351,1.489212665,0.732775385,1.556378272,0.470509265,1.621749076,0.174741244,1.673151313,-0.19536936,1.63968779,-0.53122236,1.557663615,-0.796069836,1.43152961,-1.068287198,1.304682428,-1.362006716
Pttf058k,Pan,troglo,f,0.707838426,-1.444880802,0.25476614,-1.633573824,-0.325477975,-1.636178526,-0.826278988,-1.618282996,-1.310767599,-1.406920807,-1.685925416,-1.070924267,-1.804428834,-0.579630331,-1.714099699,-0.081703702,-1.528652115,0.408907121,-1.438070265,0.723058178,-1.325755143,0.934737521,-1.077627532,1.194458275,-0.793094663,1.224973258,-0.519942038,1.237978526,-0.154081359,1.169945392,0.114996276,1.112357719,0.428953265,1.066104319,0.728574359,1.046951561,0.967393976,0.928269629,1.210743583,0.736678044,1.392519571,0.506924794,1.540641762,0.219356823,1.60881493,-0.070707986,1.559168813,-0.392113166,1.454349787,-0.65817041,1.286633334,-0.897207234,1.206626626,-1.18659868
Pttf080k,Pan,troglo,f,0.393942483,-1.563517513,-0.079173729,-1.624579366,-0.578047539,-1.567882094,-1.028334402,-1.449384629,-1.500455288,-1.159234527,-1.67804098,-0.823067393,-1.764027794,-0.368452975,-1.652952754,0.092789497,-1.527506888,0.574931311,-1.311644859,0.826564281,-1.145027974,1.050820737,-0.871729655,1.234193459,-0.595392868,1.340386581,-0.309045905,1.286104332,0.003069932,1.348395422,0.349793256,1.24694774,0.650915562,1.185833889,0.946304869,1.046802279,1.142608682,0.859694178,1.401103207,0.635710564,1.547049101,0.336976574,1.532586777,-0.017475858,1.521267581,-0.299395874,1.353236902,-0.599755962,1.207795753,-0.989412827,1.043667555,-1.225527942,0.855649663,-1.42092787
Pttf110k,Pan,troglo,f,0.972871292,-1.351841078,0.557869943,-1.593935646,0.075858579,-1.742589153,-0.429691783,-1.66900985,-0.897239016,-1.649441367,-1.365878225,-1.411693861,-1.521080061,-1.023898074,-1.634404264,-0.529300446,-1.526851901,-0.058193345,-1.538237022,0.309173891,-1.479223058,0.590879776,-1.309125995,0.834947478,-1.066657117,1.025489449,-0.801535204,1.157624327,-0.512872733,1.223039316,-0.23002418,1.300604641,0.093617613,1.338058749,0.409022706,1.289804807,0.719642533,1.209221618,0.96772466,1.088155834,1.294700042,0.945922625,1.489944425,0.619511635,1.533196095,0.307617867,1.596361854,-0.078535011,1.637515556,-0.424594598,1.589710891,-0.746614526,1.406782064,-1.069837318
Pttf142k,Pan,troglo,f,0.753445517,-1.660035758,0.260934003,-1.761566456,-0.231072238,-1.78161648,-0.81559038,-1.662046613,-1.290814073,-1.359911631,-1.722470083,-1.073625847,-1.965479623,-0.669555444,-1.983410909,-0.263337007,-1.836714375,0.25710751,-1.648367939,0.578994179,-1.456875182,0.892296986,-1.25133485,1.124116171,-0.937197723,1.305754616,-0.619013033,1.373687111,-0.256633067,1.3343776,0.067833637,1.407751649,0.423721785,1.327568486,0.707611606,1.251918389,1.057473284,1.109175859,1.434279894,0.875101357,1.587236805,0.615536226,1.788541023,0.273104208,1.844748125,-0.00649708,1.742274398,-0.370568717,1.643266087,-0.782065969,1.478179144,-1.080458375,1.244224476,-1.339792
