"cat","spp","sex","cranht","cranwd","cranlg","faceht","facewd","aptrht","aptrwd","rorbht","rorbwd","paltlg","paltwd"
"Cmsf007k","Cm","f",5.09177907883043,4.50915919155843,6.9844703884102,3.22160563030047,5.11178020880108,1.55615488696525,0.800577726979843,1.83793714769919,1.91818588015782,3.26486742160112,2.15158487939201
"Cmsf008k","Cm","f",4.88960436982169,4.64207110807032,7.25338103589533,3.68260935008708,5.28122471177277,1.83057477128246,0.938240185263488,2.03516777626995,2.33531923672899,3.08409372895973,2.0380209488486
"Cmsf009k","Cm","f",5.01766644675436,5.26790091994506,8.03131413853279,4.28939645350679,5.57747693848826,1.9732202920705,0.853055189282702,2.33150637997672,2.3860180887926,3.5394129109265,2.37461169785595
"Cmsf010k","Cm","f",5.34618042368927,5.42439381666016,7.66112826036347,3.91919602655689,5.67755321348312,1.87691806771085,1.07535400099795,2.23102585382023,2.23720893660185,3.44101993204706,2.66326802294658
"Cmsm001k","Cm","m",5.199679085652,5.91891504218932,8.21118976859773,4.51609088352294,6.13260709316823,2.17592382651329,1.16477028427128,2.08944073821655,2.25171538262735,4.18244136852417,2.66009776612979
"Cmsm002k","Cm","m",5.21146870304236,5.80130669703704,8.05064629506302,5.13787945756185,6.46218003472253,2.41131277909989,1.33528132778361,2.08549678379132,2.38458997412752,3.81543611037195,2.51023621369797
"Cmsm003k","Cm","m",5.62399734599705,5.40531703714352,7.88217531132118,4.83981461541775,5.99308813446977,1.99391334720669,0.892947093160557,2.29240560377689,2.35888384441198,3.86435650421984,2.85625976620763
"Cmsm004k","Cm","m",5.26046923903287,5.55628160137282,8.41414074332785,4.91085852510754,6.30684934857257,2.29277326664646,1.20231235763871,2.1158579916284,2.25084387283644,4.65480051578312,3.14259933391256
"Cmsm005k","Cm","m",5.09478100927642,5.46136218237637,7.77594808198321,4.42076284876804,5.78882966504161,2.08727319528766,0.999338548172586,2.14788654592764,2.28948283627965,3.90882350602393,2.5879875876364
"Gbbf005k","Gb","f",8.83630087023985,12.1196942161031,14.8160528357296,11.0642039525692,12.6249672946852,2.05341171831605,2.81317081502003,3.93764629151415,3.93881590939756,10.6702425585168,5.69910937724095
"Gbbf015k","Gb","f",8.63053658232642,12.137201317775,16.2842880476058,10.2902100683601,13.3082108715323,2.40831959615043,3.58267199629578,4.01974442263539,3.99031288374432,11.5484412755236,5.13454842908088
"Gbbf016k","Gb","f",8.79866254729697,12.5618434365328,16.5535741632942,11.2189678269497,13.0611085870249,2.39287801932464,3.28407141157779,4.12731905620007,3.8777634418159,10.2366875966455,5.71010358279626
"Gbbf024k","Gb","f",9.76878847617206,11.669335059121,16.1417553644736,10.2021976289344,12.227450970923,2.52300567582,3.21786520426612,3.73775559965127,4.0988981433755,9.15466519543326,5.26828267056858
"Gbbf027k","Gb","f",9.90575442284631,12.0739682377595,16.4179296196662,11.5095343920194,13.44282623934,3.29221948187854,3.89318657372383,4.45678186327675,3.71073587323796,9.61511333517757,5.05915539682498
"Gbbf029k","Gb","f",8.67091966773562,11.6286183472497,15.6941807077011,10.4811003096806,11.9361694915651,2.89180941028576,3.21741225051766,4.01584766590788,3.90553149159326,10.2528806593449,5.14120372860489
"Gbbm001k","Gb","m",10.7816007490922,13.4497937722407,18.229992942927,13.0340768498111,14.7744410666607,2.93819383821772,3.73262080449918,4.37271332460692,4.09420125778548,12.9911377448834,6.83764176653646
"Gbbm009k","Gb","m",11.0201070582947,13.304842324284,17.0360108036061,13.2812461787043,14.7684586225049,3.16724238800727,3.68706808503,4.12251185954548,4.19214348713481,12.1576950022,6.72993695441547
"Gbbm010k","Gb","m",10.6949899435512,13.658059158375,19.4862659748315,12.6926354291355,15.284146341733,3.03983036005971,3.88891633877512,3.78166493980564,4.0664291036125,13.6342316409946,6.07333257966947
"Gbbm012k","Gb","m",11.6920593938591,14.6948785733778,20.2411909856534,12.0604599013994,16.1212841580516,3.19879114854779,3.50295838605373,3.89826982934787,4.10299612336027,12.932986000431,6.36916641237971
"Gbbm014k","Gb","m",10.8433768771655,14.3899106577293,19.2291187183084,12.6715421799697,14.1397631132877,2.95104483653143,3.6266348104695,4.07245753906146,4.35921435735212,13.407952937138,5.55283437666846
"Gbbm017k","Gb","m",14.8215278651006,15.2178098264706,20.8584768460039,14.0638077105892,16.6983670205133,3.46279972738662,3.47653700021041,4.07740405694692,4.6038384359592,13.9674412140963,6.14410615483851
"Gbbm018k","Gb","m",11.4937309103825,12.0135471901974,19.987745280535,13.954380310894,15.3099997770455,3.73519381692258,4.46143055938428,4.47930043140617,4.61673145231422,11.4262459187929,6.52454784465535
"Gbbm023k","Gb","m",12.7191185006546,14.8202374059308,20.0433354034787,11.5523517618551,15.457696793229,3.3899475399774,3.47817575125141,4.35856470413715,4.37613517649269,12.6263163633722,7.06813336017843
"Gbbm026k","Gb","m",12.8370415950024,12.9368689141493,21.4649690350127,13.2897598012024,14.9562950235062,3.58991033364974,3.81207039475234,3.88405164804002,4.71563166163728,13.9616985061168,6.73572844650284
"Gggf015k","Gg","f",9.46504913912285,11.9502264446316,14.4146967425204,10.2306010389799,12.2462478525855,2.69135605395892,3.15287993541555,3.94043556865235,4.14649968042572,9.05358347602349,5.50192878518738
"Gggf025k","Gg","f",10.3487968987776,12.2300202361681,16.5046322694787,11.2035995801479,13.4510141196268,3.19436379354205,3.46253119837478,4.06008742678404,4.18963937350602,8.17940072752005,6.21350088235686
"Gggf028k","Gg","f",9.41152610977604,10.656102308058,15.3991644151735,10.7072719725878,12.2718397948502,3.18089431000396,3.42199741144395,3.8693436860187,3.95340765833973,9.47130827756768,4.42634730038885
"Gggf038k","Gg","f",9.79784180046467,11.4331059873903,17.2518966033138,11.4470824592368,12.5071474250694,2.83636689135687,3.02311482098064,3.83858902361813,3.71249970218376,8.08566490639415,5.2737186259623
"Gggf040k","Gg","f",9.88710429823409,12.0265330644132,15.0153624754083,10.675604088979,12.7167544884912,2.71801951407617,2.94460890813575,3.90195431406644,4.46877169333453,7.52963102198048,5.22168675541948
"Gggf047k","Gg","f",9.70206787609288,10.2472882472989,14.3944657504104,10.4851773842014,11.2514329210085,3.11362430613414,3.48985827257832,4.21528617720415,3.92061635020602,8.21417985910477,5.53151267068428
"Gggf069k","Gg","f",9.95439865754249,10.4265955866564,16.5840424343882,10.6336591526847,13.1931844787934,2.72484558980451,2.89129990647877,3.85351685308749,3.58981338524623,9.72976032801724,5.3148741597168
"Gggf070k","Gg","f",10.3975193387402,10.8681165548833,16.8599474486847,11.8417556870305,12.4077860068218,2.93716223370165,3.01953099708912,4.15061329402992,4.24446522472433,8.68437275701777,5.35889762885387
"Gggf086k","Gg","f",9.81939907839405,11.3397026960429,15.8365334236717,11.2773799749501,11.38668724074,3.1076492770473,2.9985311295157,4.50442808995932,3.86687251168386,9.16334062483523,6.24955488037762
"Gggf087k","Gg","f",10.1103786419811,10.8038693844823,15.8038931596903,10.2592697353609,12.7293470556252,3.00995702689121,3.08844614251487,3.96563305511073,4.05504894028632,9.29560484457257,4.89129478221909
"Gggf089k","Gg","f",9.88008738513253,11.6359853215463,15.0241257722882,9.69991507877033,11.6917529868664,3.57628362007029,2.67634814343649,3.51418850317847,3.61717980334955,8.15201223153602,5.12690541806989
"Gggf098k","Gg","f",10.4477135676592,11.3983063995637,15.1769214433627,11.8374643988204,11.9355348956838,3.50187550914794,3.28828562013862,3.67722995645239,3.83940481728877,9.24543969385102,5.71739085811302
"Gggf099k","Gg","f",8.71600969721616,11.6068377009544,13.8854597616236,11.2804487391725,12.1294344796387,3.7923520524799,3.16234348650378,4.2240436964611,4.28211393346954,9.11958866800643,4.80477004246435
"Gggf101k","Gg","f",8.98779755418205,10.9993862182867,15.5669378333139,10.5965477494611,11.5042800915391,3.1846716962319,3.11521347515737,4.03710148471912,3.93240552209997,8.42426112308405,5.72944797203321
"Gggf102k","Gg","f",10.2171873976606,11.6011715824618,15.4584733096401,11.5282678993669,13.4415635826978,3.27212530490612,3.35853474882829,3.91702874765177,4.30465936110403,8.61164025004029,5.03843168541316
"Gggf103k","Gg","f",10.3488475141339,11.5068514304319,16.6625824772501,13.210540579365,12.8708497951069,3.77936626751191,2.58709659503477,3.94945691778835,4.15227903665893,9.12604072131554,5.57318021642379
"Gggf104k","Gg","f",10.2170445717544,12.8953259513477,16.6109802096294,11.0276039641812,13.8692637182497,3.73980157705658,3.41262990516476,4.28445873433588,4.14053020437964,10.1028455040617,5.87601612006315
"Gggf107k","Gg","f",10.1788379066437,10.4135436231539,15.8759291764568,10.1719501277552,11.9708476617821,3.20920690554191,3.06672129969298,3.96578039993334,4.12014793369502,9.11422188960622,5.57992727249288
"Gggf109k","Gg","f",9.8757236090597,11.4350452834634,15.9726870692715,10.6888737234348,12.2631306232499,3.43445714162546,3.09679975403552,4.07654271130236,3.81331213647587,9.53956491524042,6.15427366108205
"Gggf113k","Gg","f",11.0563841097658,11.9697829107243,15.8417378564743,9.9734374011657,13.2086661589576,2.71873757083616,3.53854182157721,3.8189975951729,3.90450501294697,9.69517935236728,6.2950743102811
"Gggf114k","Gg","f",8.93130114720039,11.3869398311948,15.6541946479648,12.039622056567,12.5805090506256,3.94431686719372,3.07806686595366,4.5366520120046,3.89123778414821,8.64902106732772,5.29823630715282
"Gggf128k","Gg","f",10.9638583228802,11.9164435966071,17.0947351120407,10.3542346077019,13.5809118246386,3.28178447989828,2.85782615748046,4.00017278182958,4.12895736777205,8.32406447558485,5.13741001752086
"Gggf129k","Gg","f",9.79670648853783,11.4882201565551,14.8688993523855,10.1137608964953,12.1543948810813,3.2107064618141,3.21424481785234,3.93217967583153,3.74479218302712,8.55845694729847,5.84145140088765
"Gggf130k","Gg","f",10.3435708576989,12.0568412594555,15.8533602191235,10.3792524042093,14.2327789086402,3.46587383374202,3.22242448974039,3.66363174859126,3.69268641095891,9.3927589616038,5.31787405788819
"Gggf131k","Gg","f",9.64690085992999,12.1999883245132,15.5797660486291,11.4895014024134,13.6247060793423,3.2214438144599,3.54233480192569,4.37100900700168,3.80731396809018,8.56762343849184,5.54079935945059
"Gggf132k","Gg","f",9.99534820075658,11.3895359351266,16.349944639034,10.7039102540047,12.3781589699132,4.02484159248323,3.66349412961589,3.60444164117981,3.91283743049183,8.68698598791271,5.61332972589154
"Gggf133k","Gg","f",9.02514751389099,11.5701651806801,15.8476836472968,11.3616544090525,13.465839095818,3.90275166781292,3.07736963763052,3.66772961990522,4.11001801554685,9.40758551664787,5.68419446217093
"Gggf134k","Gg","f",9.88058056693518,10.5409425332901,15.1148913103188,9.9370048452291,12.6738288191281,3.84528038046096,2.73270172315401,3.72678158664895,3.80260981702383,8.00537024249351,4.95741357733554
"Gggm001k","Gg","m",11.6794750803219,13.9449931616102,18.3484113853241,14.4316469697835,14.9677345019738,3.32450292468188,3.36919418210646,4.47110179765136,4.23948502364191,10.7214757569508,7.16760352825707
"Gggm002k","Gg","m",11.3559206786526,14.892214535323,20.0847068633576,13.8430685963571,14.6259499933181,4.08236831222995,3.69336027650121,3.96114937892838,3.99315774052512,11.2142357860564,6.41260351775393
"Gggm003k","Gg","m",10.4421735318853,13.3819597085513,19.4953943155583,15.7738787981248,16.3362167887034,3.05541317912987,3.59283242187253,4.81134634000322,4.36089063511719,10.2977402270176,5.86235509817156
"Gggm004k","Gg","m",11.7929051882466,12.7823275426928,18.8093799942059,14.8562993310975,15.221379460745,4.0636174720829,3.59926704857921,4.73075224736122,4.47630884916472,11.2675065896474,6.04877954050356
"Gggm005k","Gg","m",11.4223467413269,13.9326156239352,19.1000530003915,12.4998571533337,15.8440083139849,3.44673506184635,3.72735291408855,3.91793946806479,4.2567486555519,11.3223381648968,5.88215933516842
"Gggm007k","Gg","m",10.6390710951252,13.0643523991791,16.8815789098352,13.2418491163396,14.0179860161888,3.57955002077532,3.20660556121867,3.63356175508212,4.23542288754346,9.69162709849267,5.34427070996817
"Gggm008k","Gg","m",11.8758435443161,13.6161665090614,19.7670915100634,13.7096648120167,16.4954448097534,3.59733828503677,3.3543082883736,4.36125294470885,4.48791038548973,9.94926125179664,6.20556528307717
"Gggm013k","Gg","m",13.5450554909451,14.7684672752338,21.1681185005091,12.6870615657476,14.2581267289126,3.47423966902295,4.22759952531929,3.61934811982739,4.61011445084479,12.1382848559845,6.57075435332925
"Gggm017k","Gg","m",12.1026446339091,12.2179991671633,17.486697820366,13.5978178454632,14.4831354384777,3.60701343788814,3.24853261084925,4.43851759500096,4.10515704151236,11.6914348227934,5.51840959246415
"Gggm019k","Gg","m",11.5703503655747,13.062240184252,18.4329970068762,10.8368703249871,15.3296817651659,3.67391385059483,3.48401179866508,3.81349516110997,4.6871756718302,9.67154011648666,5.38677869770714
"Gggm020k","Gg","m",11.0828658128802,13.346554319712,17.8257295216433,11.6944897727666,14.7705057224086,3.4747749277391,3.59210393966498,4.47605892346108,4.27612842098117,10.3005830611444,5.50997984778895
"Gggm021k","Gg","m",12.9383344506853,14.1735369517862,19.1742612928243,14.5182024805497,15.1525115550411,3.40323763468918,4.29303455637831,4.61920054155078,4.525121467268,12.3729032471591,6.43012649536384
"Gggm022k","Gg","m",11.6231076852641,13.8189663561718,18.4164290805414,11.6047972874981,15.1020874271498,4.31155610895529,3.46989039945784,3.96837953838825,4.37706313454218,9.48649590572841,6.54618411748704
"Gggm023k","Gg","m",11.168454418487,14.1473938062439,18.3293067069342,12.3951944488471,15.0548890799435,4.56368507169593,3.4673394559826,4.49288704563087,4.40336415698627,10.5951661773394,5.92001997714261
"Gggm027k","Gg","m",11.4308521002715,13.8394884982639,17.9673917135127,11.5785018848347,15.4817880275397,4.07469011463837,3.24907338791628,4.13627504074822,4.16459344769584,10.8873743617465,5.79682377264782
"Gggm029k","Gg","m",12.3187804992033,14.8955630692339,18.3981317285834,14.2374126680913,16.0169706693772,3.71925633480378,4.12523820336904,4.82425568682175,4.58541208410709,10.7648193738725,5.9212275824682
"Gggm030k","Gg","m",12.3844742923664,14.3478656689236,19.2487363805471,13.3668210684209,15.2292603107234,4.09698708944839,3.60419560943495,3.85850168300973,4.48257277437239,11.3455845349285,6.60173114656721
"Gggm031k","Gg","m",12.7526103151419,13.89996792425,21.8850524763065,11.9142283771696,16.0822392637179,3.4942291549413,3.21395835264272,4.06800560209765,4.8476073229565,10.553770350767,6.33306876146764
"Gggm032k","Gg","m",10.8530554911252,13.5626005905985,18.8454911692173,13.0098665500432,15.5405033191721,3.61566093622289,4.05971623154359,4.62636720567509,4.60356721656309,9.57609661349628,6.20356462548547
"Gggm034k","Gg","m",10.7313533997912,13.6422000710668,18.0363643164553,12.5762825504631,13.9971643661705,3.85202183961707,3.37070942734696,3.96976631041141,4.44368821915791,10.5895059914599,5.64662927724915
"Gggm039k","Gg","m",12.9873790437352,13.8917126089885,18.2707232173749,13.8928080145641,16.7778497944335,4.26783548345016,3.47833777508232,4.21453747679952,4.45561804203081,11.5819828313562,6.43617831764467
"Gggm043k","Gg","m",11.2703923545153,13.3512234476452,17.2828695500169,14.5743705199329,16.179530201191,3.54595561123664,3.20094654469343,4.04973393570189,3.94191747336406,12.0969142823595,5.9481627763774
"Gggm044k","Gg","m",10.5178037236678,14.8223387233612,19.6129421488804,12.4486876073402,14.7773143908127,3.1631400765823,3.48365842131873,4.22264403426937,4.44467367848986,9.93224370143812,6.14059273299762
"Gggm045k","Gg","m",10.4878633734973,13.1753354578041,17.0729414945428,13.4238683293244,15.1792832276536,3.89165404051223,3.39750521891638,4.2322482295791,4.37325823004639,11.2571513811782,5.96128954060814
"Gggm053k","Gg","m",12.9589614129701,13.3559582937317,20.6500880442837,14.4892452802614,16.4511250856321,3.96016415318899,3.96925805979369,4.65870367862675,4.4478899179094,12.0432684364018,6.94655109772451
"Gggm058k","Gg","m",12.7142718609973,11.6483382252182,18.6799753258111,12.2893585335292,15.7989928459003,3.65121066505764,4.49427981007346,4.26253178982468,4.79249734271583,10.3205005781505,5.99994825121708
"Gggm059k","Gg","m",10.7047264081077,13.2033366705761,17.9640260052005,14.2357803591831,15.6986127543918,3.86283339325843,3.43440732026111,4.79516036754939,4.55076652688159,10.7495529064031,6.89890795019577
"Gggm060k","Gg","m",11.2591132690163,13.1261342051337,20.8440665298511,11.2024881021583,14.8326306287813,3.6750924681865,3.62171103297654,3.86719075909832,4.24021894823152,10.9393282877098,6.27162060654686
"Gggm071k","Gg","m",10.1657374930894,13.3592952336766,19.4792349507395,13.4680576557952,14.5220600794235,3.11148279740929,3.28630058112101,4.80110571355022,4.39470203379277,10.4225336795927,6.41711019964544
"Gggm072k","Gg","m",11.1756441413976,13.8375161215479,16.9584876717286,12.6725890827257,16.1051648438709,3.89919701620297,3.87296219069669,4.17785956171098,4.63193551395621,10.2686071144173,6.47093066276958
"Gggm074k","Gg","m",10.7261581778454,12.58696055538,17.8203555408892,12.2380338418226,15.7157185704247,3.42827140420425,3.27031296877022,4.5393318466524,4.49108196437347,9.58954444971468,5.26903201782424
